name,phone,email,website,category,address1,address2,region,zip,country,googlestars,googlecount,yelpstars,yelpcount,fbstars,fbcount,ig_followers
"City Dental Group NYC","+12124250505","","https://citydentalnyc.com/","Dentist","11 Broadway Lobby 4","New York","NY","10004","US","4.7","302","2.6","73","","","518"
"Holistic Dentists","+12127322200","reception@holistic-dentists.com","http://www.holistic-dentists.com/","Dentist","17 Park Pl","New York","NY","10007","US","4.9","283","2.9","20","","","4478"
"Tribeca Advanced Dentistry by Dr. Olga Malkin","+12123554510","kin@hotmail.com","http://tribecaadvanceddentistry.com/","Dental implants provider","23 Warren St Apartment 10","New York","NY","10007","US","5.0","171","4.7","40","","","5273"
"Tribeca Dental Care","+12124314582","","https://tribecanydentistoffice.com/","Dentist","402 Broadway","New York","NY","10013","US","4.8","1090","4.5","186","","","642"
"Tribeca Dental Studio","+12125615303","info@nytds.com","https://tribecadentalstudio.com/","Cosmetic dentist","54 Warren St","New York","NY","10007","US","4.6","446","2","148","","","9"
"TriBeCa Dental Associates | Murray","+12126713749","manager@tribecadentalny.com","https://tribeca.dental/","Dentist","21 Murray St 4th floor","New York","NY","10007","US","4.9","1364","4","64","","","3470"
"209 NYC Dental","+12123552290","","https://www.209nycdental.com/","Dentist","209 E 56th St 1st floor","New York","NY","10022","US","4.9","1716","","","","","940"
"New York Dental Office","+12125483261","frontdesk@newyorkdentaloffice.com","https://www.newyorkdentaloffice.com/","Dentist","245 E 63rd St #110","New York","NY","10065","US","4.9","438","","","","",""
"Sound Dental NYC","+19172616464","sounddentalnyc@gmail.com","http://sounddentalnyc.com/","Dentist","42 Lafayette St","New York","NY","10013","US","4.9","88","5","8","","","113"
"Pearl Dental NYC","+12123449317","","https://www.pearldentalnyc.com/","Cosmetic dentist","233 Broadway 18 Floor","New York","NY","10279","US","5.0","467","4.6","80","","","874"
"NYC Dental Associates","+12122261899","info@nycdent.com","http://www.nycdent.com/","Dental clinic","155 Spring St floor 4","New York","NY","10012","US","4.4","149","3.3","116","","","38530"
"Nassau Street Dental","+12124063421","info@nassaustdental.com","http://www.nassaustreetdental.com/","Dentist","122 Fulton St","New York","NY","10038","US","4.5","106","","","","",""
"Tribeca Dental Design","+12122279127","info@tribecadentaldesign.com","http://tribecadentaldesign.com/","Dentist","55 Murray St","New York","NY","10007","US","4.0","53","4.4","154","","",""
"65 Broadway Dental","+12124303888","office@65broadwaydental.com","https://65broadwaydental.com/","Dentist","65 Broadway #408","New York","NY","10006","US","4.3","609","2.2","118","","","11086"
"Lumia Dental PLLC","+12122871275","info@lumiadental.com","https://www.lumiadental.com/","Dentist","160 Broadway # 1004","New York","NY","10038","US","4.9","708","4.8","241","","","1412"
"Sky Dental","+12126001996","contactus@skydentalnyc.com","https://skydentalnyc.com/","Dentist","111 Broadway Suite 1304","New York","NY","10006","US","4.9","2459","4.1","100","","","3181"
"Maiden Lane Dental - Financial District NYC","+12125094585","mld702@gmail.com","https://maidenlanedental.com/","Dentist","80 Maiden Ln #702","New York","NY","10038","US","4.9","479","4.6","55","","",""
"Battery Park Dental Group","+12126194070","bpdg2012@gmail.com","http://batteryparkdentalgroup.com/","Dentist","375 S End Ave","New York","NY","10280","US","4.5","142","3.7","106","","","509"
"Dr. Faten Ahmed","+12129665551","","http://www.bwdentalnyc.com/","Dentist","110 Duane St","New York","NY","10007","US","4.6","98","","","","","95"
"Dr. Jeffrey R. Shapiro - iSmile","+12122671884","mail@ismile.com","http://www.ismile.com/","Dentist","111 Broadway # 17","New York","NY","10006","US","5.0","370","5","12","","","5704"
"Advanced Dental Arts NYC","+12123881170","","https://advanceddentalartsnyc.com/","Dentist","55 E 9th St","New York","NY","10003","US","4.8","404","3.8","80","","","3789"
"Centre Dental-中央牙科-曼哈顿 华人 牙科 牙医 根管治疗 牙医诊所 洗牙 牙齿矫正 植牙 拔牙 种植牙 种牙 医师 医生 诊所 矫正牙齿 推荐","+12129257066","centredentalnyc@gmail.com","https://www.centredent.com/","Dental clinic","139 Centre St STE 306","New York","NY","10013","US","4.8","320","4.8","67","","","126"
"Steven Ritholtz, DDS","+12126795761","cp7dentist@gmail.com","https://www.katzandpfefferdentalstudio.com/about","Dentist","210 E 36th St","New York","NY","10016","US","5.0","103","","","","",""
"The Tribeca Dentist: Dr. Paolo Saggese","+12129627565","info@tribecasmile.com","http://www.thetribecadentist.com/","Dentist","325 Broadway","New York","NY","10007","US","4.8","147","3.2","28","","",""
"FiDi Dental","+12127422070","info@80walldental.com","https://www.fididentalnyc.com/","Dentist","125 Maiden Ln #17b","New York","NY","10038","US","4.9","359","4","8","","",""
"Village Dental NYC","+13322304916","billpay@myunderbite.com","https://villagedentalnyc.com/","Dentist","77 E 12th St","New York","NY","10003","US","4.8","424","3.8","61","","","556"
"Santore Raphael D DDS","+12129419095","frontdesk@flexyoursmile.net","https://www.godental365.com/","Dentist","19 Murray St 1st floor","New York","NY","10007","US","5.0","1","4.2","18","","","3241"
"Greene Street Dental","+13322816110","","https://greenestreetdental.com/","Dentist","72 Greene St Floor 3","New York","NY","10012","US","4.8","218","3.5","59","","","896"
"Sunny Dental Care","+12128425300","info@sunnydental.us","http://www.sunnydental.us/","Dentist","101 Lafayette St Floor 9","New York","NY","10013","US","4.8","255","4.8","49","","",""
"iSmileKids Pediatric Dentistry","+12122670029","mail@ismilekids.com","https://www.ismilekids.com/","Dental clinic","17th Floor 111, Broadway","New York","NY","10006","US","5","12","5","1","","",""
"Broadway Dental Care","+12122266262","","https://weence.com/dentists/new-york-1/broadway-dental-care-5/","Dentist","139 Centre St","New York","NY","10013","US","4.5","4","4.5","46","","","96"
"Emergency Dentist NYC","+16463368478","emergencydentistnyc212@gmail.com","http://www.emergencydentistnyc.com/","Dentist","100 E 12th St","New York","NY","10003","US","4.1","240","4.2","142","","","798"
"Wall Street Dental Spa - Financial District","+12125145514","info@wallstdentalspanyc.com","https://wallstdentalspanyc.com/","Cosmetic dentist","30 Wall St #720","New York","NY","10005","US","4.9","1220","3.5","109","","","7389"
"Access Dental Group Manhattan PLLC","+12122400028","accessdentalgroup@gmail.com","http://www.accessdentalgroupny.com/","Dentist","139 Centre St Suit 322","New York","NY","10013","US","3.6","24","","","","",""
